Name,Formula,Solubility at 20°C
Actinium(III) hydroxide,Ac(OH)3,0.0021
Aluminium chloride,AlCl3,45.8
Aluminium fluoride,AlF3,0.67
Aluminium hydroxide,Al(OH)3,2.262e-08
Aluminium nitrate,Al(NO3)3,73.9
Aluminium perchlorate,Al(ClO4)3,133.0
Aluminium sulfate,Al2(SO4)3,36.4
Ammonia (ml/ml),NH3,702.0
Ammonium acetate,NH4C2H3O2,143.0
Ammonium azide,NH4N3,25.3
Ammonium benzoate,NH4C7H5O2,21.3
Ammonium bicarbonate,NH4HCO3,21.7
Ammonium bromide,NH4Br,76.4
Ammonium carbonate,(NH4)2CO3·H2O,100.0
Ammonium chlorate,NH4ClO3,28.7
Ammonium chloride,NH4Cl,37.2
Ammonium hexachloroplatinate,(NH4)2PtCl6,0.499
Ammonium chromate,(NH4)2CrO4,34.0
Ammonium dichromate,(NH4)2Cr2O7,35.6
Ammonium dihydrogen arsenate,NH4H2AsO4,48.7
Ammonium dihydrogen phosphate,NH4H2PO4,37.4
Ammonium fluoride,NH4F,80.8
Ammonium fluorosilicate,(NH4)2SiF6,18.6
Ammonium formate,NH4HCO2,143.0
Ammonium hydrogen phosphate,(NH4)2HPO4,68.9
Ammonium hydrogen sulfate,NH4HSO4,100.0
Ammonium hydrogen tartrate,NH4HC4H4O6,2.7
Ammonium iodate,NH4IO3,2.6
Ammonium iodide,NH4I,172.0
Ammonium nitrate,NH4NO3,192.0
Ammonium orthoperiodate,(NH4)5IO6,2.7
Ammonium oxalate,(NH4)2C2O4,4.45
Ammonium perchlorate,NH4ClO4,20.85
Ammonium permanganate,NH4MnO4,8.0
Ammonium perrhenate,NH4ReO4,6.2
Ammonium phosphate,(NH4)3PO4,20.3
Ammonium selenate,(NH4)2SeO4,115.0
Ammonium sulfate,(NH4)2SO4,75.4
Ammonium aluminium sulfate,NH4Al(SO4)2·12H2O,7.4
Ammonium sulfite,(NH4)2SO3,60.8
Ammonium tartrate,(NH4)2C4H4O6,63.0
Ammonium thiocyanate,NH4SCN,170.0
Ammonium thiosulfate,(NH4)2S2O3,173.0
